2023-07-12 17:36:55.156 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:55.222 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:55.239 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:55.255 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:55.293 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:36:55.334 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.786 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.929 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.943 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.958 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.986 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:34.992 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.196 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.269 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.276 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.353 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.435 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.503 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.519 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.534 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.571 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.612 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:35.628 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:38:38.337 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
